SPECIES_CODE,SCIENTIFIC_NAME,COMMON_NAME1,COMMON_NAME2,COMMON_NAME3,COMMON_NAME4,RESOURCE_ID
JUMO,Juniperus monosperma (Emgelm.) Sarg.,one-seed juniper,,,,
JUOC,Juniperus occidentalis Hook.,western juniper,,,,
JUOS,Juniperus osteosperma (Torr.) Little,Utah juniper,,,,
JUOX,Juniperus oxycedrus L.,prickly juniper,,,,
JUPC,Juniperus procera Hochst. ex Endl.,African pencil cedar,East African juniper,Uganda juniper,,
JUPH,Juniperus phoenicea L.,Phoenicean juniper,,,,
JUPI,Juniperus pinchotii Sudw.,redberry juniper,Pinchot juniper,,,
JUPR,Juniperus przewalskii Komarov = Sabina przewalskii Komarov,Qilianshan juniper,,,,
JURE,Juniperus recurva Buch.-Ham. ex D. Don,drooping juniper,,,,
JUSC,Juniperus scopulorum Sarg.,Rocky Mountain juniper,,,,
JUSE,Juniperus seravschanica Komar. = Juniperus palycarpos,,,,,
JUSM,Juniperus semiglobosa Regel = Juniperus indica,,,,,
JUSP,Juniperus spp. L.,juniper,,,,
JUTH,Juniperus thurifera L.,Spanish juniper,,,,
JUTU,Juniperus turkestanica Komar.,Turkestan juniper,,,,
JUVI,Juniperus virginiana L.,eastern red-cedar,,,,
KHGR,Khaya grandifolia C.DC.,Benin mahogany,African mahogany,acajou,,
KRDR,Krenevaja drevesina,,,,,
KUER,Kunzea ericoides (A. Rich.) J. Thompson,white tea tree,kanuka,,,
LACA,Larix cajanderi Mayr = Larix gmelinii,,,,,
LADE,Larix decidua Mill.,European larch,,,,
LAGM,Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr,Dahurian larch,,,,
LAGR,Larix griffithiana (Lindl. & Gord.) Carr.,Himalayan larch,,,,
LAHU,Laxopterigium huasango,haltaco,,,,
LAJA,Larix japonica Carr. = Larix kaempferi (Lamb.) Carr.,Japanese larch,,,,
LALA,Larix laricina (Du Roi) K. Koch,tamarack,eastern larch,,,
LALY,Larix lyallii Parl.,subalpine larch,,,,
LAOC,Larix occidentalis Nutt.,western larch,,,,
LAPH,Laurelia philippiana,tepa,,,,
LAPO,Larix potanini Batal.,Chinese larch,,,,
LASE,Laurelia sempervirens,laurel,,,,
LASI,Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.,Siberian larch,,,,
LASP,Larix spp. Mill.,larch,,,,
LASU,Larix sukachevii = Larix sibirica,,,,,
LBAN,Laburnum anagyroides Medik.,common laburnum,,,,
LBGL,Labatia glomerata,,,,,
LECO,Lecythis corrugata Poit.,angelique,,,,
LEFL,Leptospermum flavescens,tea tree,,,,
LEIN,Lepidothamnus intermedius,,,,,
LESC,Leptospermum scoparium,,,,,
LGCO,Lagarostrobus colensoi (Hook.) C.J. Quinn = Dacrydium colensoi Hook.,,,,,
LGFR,Lagarostrobus franklinii (Hook. f.) Quinn,huon pine,,,,
LIBI,Libocedrus bidwillii Hook. f.,New Zealand cedar,pahautea,,,
LIDE,Libocedrus decurrens Torr. = Calocedrus decurrens,,,,,
LISP,Libocedrus spp. Endl.,incense-cedar,,,,
LIST,Liquidambar styraciflua L.,sweetgum,,,,
LITU,Liriodendron tulipifera L.,tuliptree,yellow-poplar,tulip-poplar,,
LOFR,Lomatia fraseri R.Br.,tree lomatia,silky lomatia,,,
LOTR,Lovoa trichilioides Harms,dibetou,,,,
LOXY,Lonicera xylosteum L.,,,,,
LSFL,Lagerstroemia flos-reginae Retz.,pyinma banaba,banglang,jarul,,
LSLA,Lagerstroemia lanceolata Wall.,benteak,nana,,,
MAAC,Magnolia accuminata L.,cucumbertree,,,,
MABI,Manilkara bidentata A. Chev.,balata franc,,,,
MAGR,Magnolia grandiflora L.,southern magnolia,,,,
MAVI,Magnolia virginiana L.,sweetbay,swampbay,,,
MICH,Michelia champaca L.,,,,,
MIXD,Various taxa,,,,,
MOAL,Morus alba L.,white mulberry,,,,
MOCO,Moronobea coccinea Aubl.,mountain manil,manil montagne,,,
MYCE,Myrica cerifera L.,southern bayberry,,,,
MYGA,Myrica gale L.,sweet gale,bog myrtle,,,
NOAL,Nothofagus alpina,rauli,,,,
NOAN,Nothofagus antarctica (Forst) Oerst.,Antarctic beech,nirre,,,
NOCU,Nothofagus cunninghamii Oerst.,myrtle beech,Australian nothofagus,,,
NODO,Nothofagus dombeyi (Mirb.) Blume,coihue,Dombey's southern beech,,,
NOFU,Nothofagus fusca (Hook. f.) Oerst.,red beech,New Zealand red beech,,,
NOGU,Nothofagus gunnii (Hook. f.) Oerst.,tanglefoot beech,,,,
NONE,Nothofagus nervosa Dim. et Mil.,rauli,,,,
NONI,Nothofagus nitida,,,,,
NOOB,Nothofagus obliqua (Mirb.) Blume,southern beech,roble,,,
NOPU,Nothofagus pumilio (Poepp. & Endl.) Reiche,lenga,,,,
NOSO,Nothofagus solanderi (Hook f.) Oerst.,mountain beech,black beech,,,
NYOG,Nyssa ogeched Bartr. ex Marsh.,Ogeechee tupelo,,,,
NYSY,Nyssa sylvatica Marsh.,black tupelo,blackgum,,,
OCUS,Ocotea usambarensis Engl.,ocotea,East African camphorwood,camphor,,
OXAR,Oxydendrum arboreum (L.) DC,sourwood,,,,
PAAU,Parkia auriculata,,,,,
PARI,Parapiptadenia rigida Benth.,,,,,
PBPO,Phoebe porfiria Mez.,,,,,
PCAB,Picea abies (L.) H. Karst.,Norway spruce,,,,
PCAJ,Picea ajanensis = Picea jezoensis,,,,,
PCAS,Picea asperata Mast.,dragon spruce,,,,
PCBA,Picea balfouriana,,,,,
PCBR,Picea brachytyla (Franch.) Pritz.,,,,,
PCCA,Picea cajanensis Lindl. et Gord.,,,,,
PCCH,Picea chihuahuana Martinez,chihuahua spruce,,,,
PCEN,Picea engelmannii Parry ex Engelm.,Engelmann spruce,,,,
PCEX,Picea excelsa Link = Picea abies (L.) Karst,Norway spruce,,,,
PCGL,Picea glauca (Moench) Voss,white spruce,,,,
PCGN,Picea glehnii (Fr. Schmidt) Mast.,Sakhalin spruce,,,,
PCJE,Picea jezoensis (Sieb. & Zucc.) Carr.,Yezo spruce,Hondo spruce,,,
PCLI,Picea likiangensis (Franchet) Pritzel,Likiang spruce,,,,
PCMA,"Picea mariana (Mill.) Britton, Sterns, & Poggenb.",black spruce,,,,
PCOB,Picea obovata Ledeb. = Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hultén,Siberian spruce,Norway spruce,,,
PCOM,Picea omorika (Pancic) Purk.,Serbian spruce,Pancic spruce,,,
PCOR,Picea orientalis (L.) Peterm.,eastern spruce,Oriental spruce,,,
PCPR,Picea purpurea Mast.,,,,,
PCPU,Picea pungens Engelm.,blue spruce,Colorado spruce,,,
PCRU,Picea rubens Sarg.,red spruce,,,,
PCSH,Picea schrenkiana Fisch. & C.A. Mey.,Shrenk's spruce,,,,
PCSI,Picea sitchensis (Bong.) Carrière,Sitka spruce,,,,
PCSM,Picea smithiana (Wall.) Boiss.,Himalayan spruce,,,,
PCSP,Picea spp. A. Dietr.,spruce,,,,
PCTI,Picea tienschanica Rupr.,Tien-shan spruce,,,,
PEBO,Persea borbonia (L.) Spreng.,shorebay,redbay,,,
PECA,Peronema canescens Jack.,koeroes,sunkai,,,
PELI,Persea lingue Nees,lingue,,,,
PELN,Petrophile linearis R.Br.,pixie mops,,,,
PHAL,Phyllocladus alpinus Hook. f. =Phyllocladus trichomanoides D. Don var. alpinus (Hook. f.) Parl.,mountain toatoa,alpine celery top pine,,,
PHAS,Phyllocladus aspleniifolius (Labill.) Hook. f.,celery top pine,,,,
PHGL,Phyllocladus glaucus Carrière = Phyllocladus aspleniifolius (Labill.) Hook. f.,toatoa,,,,
PHTR,Phyllocladus trichomanoides D. Don,tanekaha,,,,
PIAL,Pinus albicaulis Engelm.,whitebark pine,,,,
PIAM,Pinus armandii Franchet,David's pine,Armand's pine,,,
PIAR,Pinus aristata Engelm.,Rocky Mountain bristlecone pine,,,,
PIBA,Pinus balfouriana Balf.,foxtail pine,,,,
PIBN,Pinus banksiana Lamb.,jack pine,,,,
PIBR,Pinus brutia Ten.,Calabrian pine,brutia pine,see kiefer,,
PIBU,Pinus bungeana Zucc.,lacebark pine,,,,
PICA,Pinus caribea Mor.,Caribbean pine,Cuban pine,,,
PICH,Pinus leiophylla var. chihuahuana (Engelm.),Shaw  chihuahua pine,,,,
PICL,Pinus coulteri D.Don,Coulter pine,bigcone pine,,,
PICM,Pinus cembroides Zucc.,Mexican pinyon,Mexican nut pine,,,
PICO,Pinus contorta Douglas ex Loudon,lodgepole pine,,,,
PIDE,Pinus densiflora Siebold & Zucc.,Japanese red pine,,,,
PIDN,Pinus densata,,,,,
PIEC,Pinus echinata Mill.,shortleaf pine,,,,
PIEL,Pinus elliottii Engelm.,slash pine,,,,
PIEN,Pinus engelmannii Carr.,Apache pine,,,,
PIFL,Pinus flexilis E. James,limber pine,,,,
PIHA,Pinus halepensis Mill.,Aleppo pine,Jerusalem pine,,,
PIHE,Pinus heldreichii Christ,Heldreich's pine,panzer fohre,,,
PIHL,Pinus hallii = Podocarpus hallii,,,,,
PIJE,Pinus jeffreyi Balf.,Jeffrey pine,,,,
PIKO,Pinus koraiensis Sieb. & Zucc.,Korean pine,,,,
PILA,Pinus lambertiana Douglas,sugar pine,,,,
PILE,Pinus leucodermis Ant.,Bosnian pine,greybark pine,pino loricato,,
PILO,Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva,Intermountain bristlecone pine,,,,
PILR,Pinus laricio Poir. = Pinus nigra,,,,,
PIMA,Pinus massoniana Lamb.,Masson pine,,,,
PIMC,Pinus monticola Dougl. ex D. Don in Lamb.,western white pine,,,,
PIMG,Pinus mugo Turra = Pinus montana Mill.,mountain pine,stone pine,,,
PIMK,Pinus merkusii Jungh. & De Vriese,Merkus pine,mindoro pine,Tenasserim pine,,
PIMO,Pinus monophylla Torr. & Frém.,singleleaf pinyon,,,,
PIMU,Pinus mughus Scop. = Pinus mugo Turra,krummholz pine,,,,
PIMZ,Pinus montezumae Lamb.,Montezuma pine,,,,
PINI,Pinus nigra J.F. Arnold,Austrian pine,black pine,,,
PIOO,Pinus oocarpa Schiede,,,,,
PIPA,Pinus palustris Mill.,longleaf pine,,,,
PIPE,Pinus peuce Griseb.,Macedonian pine,Balkan pine,,,
PIPL,Pinus pallasiana = Pinus nigra,,,,,
PIPM,Pinus pumila (Pall.) Regel,dwarf Siberian pine,Japanese stone pine,,,
PIPN,Pinus pinea L.,Italian stone pine,umbrella pine,,,
PIPO,Pinus ponderosa Douglas ex C. Lawson,ponderosa pine,western yellow pine,,,
PIPU,Pinus pungens Lamb.,Table Mountain pine,,,,
PIQU,Pinus quadrifolia Parl. ex Sudw.,Parry pinyon,,,,
PIRA,Pinus radiata D. Don,Monterrey pine,,,,
PIRI,Pinus rigida Mill.,pitch pine,,,,
PIRO,Pinus roxburghii Sarg. = Pinus longifolia Roxb.,chir pine,,,,
PISF,Pinus strobiformis Engelm.,southwestern white pine,,,,
PISI,Pinus sibirica Du Tour,Siberian stone pine,,,,
PISP,Pinus spp. L.,pine,,,,
PIST,Pinus strobus L.,eastern white pine,Weymouth pine,,,
PISY,Pinus sylvestris L.,Scots pine,Scotch pine,,,
PITA,Pinus taeda L.,loblolly pine,,,,
PITB,Pinus tabulaeformis Carr.,Chinese pine,,,,
PITH,Pinus thunbergii Parl.,Japanese black pine,,,,
PITO,Pinus torreyana Parry ex Carrière,Torrey Pine,,,,
PIUN,Pinus uncinata Mill. ex Mirb.,mountain pine,,,,
PIVI,Pinus virginiana Mill.,Virginia pine,scrub pine,,,
PIWA,Pinus wallichiana A.B. Jacks.,Himalayan pine,kail pine,blue pine,,
PLAC,Platanus acerifolia (Ait.) Willd.,London plane tree,,,,
PLIN,Platonia insignis Mart.,parcouri,,,,
PLOC,Platanus occidentalis L.,American sycamore,,,,
PLOR,Platyeladus orientalis,Chinese pine,,,,
PLUV,Pilgerodendron uviferum (D. Don) Florin,cipres de las Guaytecas,,,,
PMAN,Prumnopitys andina = Podocarpus andinus,lleuque,,,,
PMFE,Prumnopitys ferreginea,,,,,
PMTA,Prumnopitys taxifolia,,,,,
PNAM,Prunus americana Marsh.,American plum,,,,
PNAV,Prunus avium L.,wild cherry,,,,
PNIL,Prunus ilicifolia (Nutt. ex Hook & Arn.) D. Dietr.,hollyleaf cherry,,,,
PNMA,Prunus mahaleb L.,,,,,
PNPE,Prunus pennsylvanica L.f.,pin cherry,,,,
PNSE,Prunus serotina Ehrh.,black cherry,,,,
PNSP,Prunus spinosa Ehrh.,,,,,
POFA,Podocarpus falcatus (Thumb.) Br.,yellowwood,oteniqua,,,
POFE,Podocarpus ferruginens = Prumnopitys ferruginea,,,,,
POHA,Podocarpus hallii,,,,,
POLA,Podocarpus lawrencei Hook. f.,Tasmanian podocarpus,,,,
PONE,Podocarpus neriifolius D.Don,thitmin,,,,
PONI,Podocarpus nivalis,,,,,
PONU,Podocarpus nubigensus Lindl. ex Paxt,manio de hojas punzantes,manio macho,,,
POPA,Podocarpus parlatorei,,,,,
POSC,Podocarpus spicatus = Prumnopitys taxifolia,,,,,
POSP,Podocarpus spp. L'Heritier ex Persoon,,,,,
POTO,Podocarpus totara G. Benn. ex D. Don,totara,,,,
PPAN,Populus angustifolia James,narrowleaf cottonwood,,,,
PPBA,Populus balsamifera L.,balsam poplar,,,,
PPDE,Populus deltoides Bartr. ex Marsh.,eastern cottonwood,,,,
PPFA,Populus fastigiata,,,,,
PPFR,Populus fremontii Wats.,Fremont cottonwood,,,,
PPNI,Populus nigra L.,black poplar,,,,
PPSI,Populus sieboldii Miq.,Japanese aspen,,,,
PPSP,Populus spp. L.,cottonwood,poplar,,,
PPTR,Populus tremuloides Michx.,quaking aspen,,,,
PRFL,Prosopis flexuosa DC,,,,,
PRGL,Prosopis glandulosa var. glandulosa Torr.,honey mesquite,,,,
PRLI,Presea lingue,lingue,,,,
PROS,Prosopis spp. L.,mesquite,,,,
PSAX,Pseudowintera axilarris,,,,,
PSCO,Pseudowintera colorata,,,,,
PSJA,Pseudotsuga japonica (Shirasawa) Beissn.,Japanese Douglas-fir,,,,
PSMA,Pseudotsuga macrocarpa (Vasey) Mayr,bigcone Douglas-fir,,,,
PSMU,Pseudobombax munguba,,,,,
PSSE,Pseudobombax septenatum (Jacq.) Dugand,,,,,
PSXA,Pseudoxandra polyphleba,,,,,
PTAT,Pistacia atlantica Desf.,Atlas pistache,betoum,,,
PTKH,Pistacia khinjuk,,,,,
PTPA,Pistacia palaestina,,,,,
PTSP,Pistacia spp. L.,pistache,,,,
PTVE,Pistacia vera L.,,,,,
PUSP,Purshia spp. DC. ex Poir.,,,,,
PYSA,Polyscias sambucifolius (Sieber ex DC.) Harms,elderberry panax,elderberry ash,,,
QUAC,Quintina acutifolia,,,,,
QUAF,Quercus afares Pomel,,,,,
QUAL,Quercus alba L.,white oak,,,,
QUBO,Quercus boissieri Reut.,,,,,
QUBR,Quercus brantii Lindley,,,,,
QUCA,Quercus canariensis Willd.,Mirbeck's oak,Algerian oak,,,
QUCF,Quercus californica (Torr.) Cooper = Quercus kelloggii Newb.,,,,,
QUCL,Quercus calliprinos,Kermes oak,,,,
QUCN,Quercus conferta Kit. = Q.farnetto = Quercus frainetto Ten,,,,,
QUCP,Quercus copeyensis,,,,,
QUCR,Quercus costaricensis,,,,,
QUDE,Quercus dentata Thunb.,kashiwa oak,Daimio oak,,,
QUDS,Quercus dschoruchensis K. Koch,,,,,
QUEL,Quercus ellipsoidalis E.J. Hill,northern pin oak,,,,
QUEM,Quercus emoryi Torr. in Emory,Emory oak,,,,
QUFA,Quercus falcata Michx.,southern red oak,,,,
QUFG,Quercus faginea Lam.,Portuguese oak,,,,
QUFR,Quercus frainetto Ten.,Hungarian oak,,,,
QUGR,Quercus grisea Liebm.,gray oak,,,,
QUGS,Quercus mongolica var. grosseserrata (Bulme) Rehd. &  Wils.,mizunara oak,,,,
JUTI,Juniperus tibetica Kom.,Tibetan juniper,,,,
QUGY,Quercus garryana Dougl. ex Hook,Oregon white oak,,,,
QUHA,Quercus hartwissiana Steven,,,,,
QUIL,Quercus ilex L.,holm oak,holly oak,,,
QUIT,Quercus ithaburensis (Decne.) Boiss.,Mt. Tabor oak,,,,
QUKE,Quercus kelloggii Newb.,California black oak,,,,
QULA,Quercus laurifolia Michx.,laurel oak,,,,
QULO,Quercus lobata Née,valley oak,,,,
QULU,Quercus lusitanica Lam.,oak,,,,
QULY,Quercus lyrata Walter,overcup oak,,,,
QUMA,Quercus macrocarpa Michx.,burr oak,,,,
QUMC,Quercus macrolepis Kotschy,Valonia oak,,,,
QUMI,Quercus michauxii Walt.,swamp chestnut oak,,,,
QUML,Quercus marilandica Muenchh.,blackjack oak,,,,
QUMO,Quercus mongolica Fisch. ex Turcz.,Mongolian oak,,,,
QUMU,Quercus muehlenbergii Engelm.,chinkapin oak,,,,
QUNI,Quercus nigra L.,water oak,,,,
QUPA,Quercus palustris Muenchh.,pin oak,,,,
QUPE,Quercus petraea (Matt.) Liebl. = Quercus sessiliflora Salisb.,durmast oak,sessile oak,,,
QUPO,Quercus pontica K. Koch,Armenian oak,,,,
QUPR,Quercus prinus L.,chestnut oak,,,,
QUPS,Quercus persica = Quercus brantii,,,,,
QUPU,Quercus pubescens Willd.,downy oak,durmast oak,,,
QUPY,Quercus pyrenaica Willd.,Pyrenean oak,,,,
QURO,Quercus robur L. = Quercus pendunculata Ehrl.,English oak,,,,
QURU,Quercus rubra L.,red oak,,,,
QUSH,Quercus shumardii Buckl.,Shumard oak,,,,
QUSP,Quercus spp. L.,oak,,,,
QUST,Quercus stellata Wangenh.,post oak,,,,
QUSU,Quercus suber L.,cork oak,cork tree,,,
QUVE,Quercus velutina Lam.,black oak,,,,
RAGU,Rapanea guianensis Aubl.,guiana quintinia,,,,
RESP,Recordoxylon speciosum Normand & Mariaux,wacapou guitin,,,,
RHCA,Rhamnus caroliniana Walt.,Carolina buckthorn,,,,
RHCR,Rhamnus crocea Nutt.,hollyleaf buckthorn,,,,
RHCT,Rhamnus cathartica L.,,,,,
RHOV,Rhus ovata Wats.,sugar sumac,,,,
RONE,Robinia neomexicana Gray,New Mexico locust,,,,
ROPS,Robinia pseudoacacia L.,black locust,,,,
SAAC,Salix acutifolia,,,,,
SAAD,Salix amygdaloides Anderss.,peachleaf willow,,,,
SAAL,Salix alba L.,white willow,,,,
SAAM,Salix amygdalina L.,almond-leaved willow,peachleaf willow,,,
SAAT,Salix arctica Pall.,Arctic willow,,,,
SABA,Salix babylonica L.,weeping willow,,,,
SACA,Salix caprea L.,pussy willow,goat willow,,,
SACO,Saxegothaea conspicua Lindl.,Prince Albert's yew,manio de hojas cortas,manio hembra,,
SACR,Salix caroliniana Michx.,Coastal Plain willow,,,,
SADI,Salix discolor Muhl.,pussy willow,glaucous willow,,,
SAEL,Salix elaeagnos,,,,,
SAGL,Salix glauca L.,grayleaf willow,,,,
SAIN,Salix interior Rowlee = Salix exigua Nutt.,sandbar willow,,,,
SALA,Salix lanata L.,Richardson's willow,,,,
SAMY,Salix myrsinifolia Salisb.,,,,,
SAPH,Salix phylicifolia L.,tea-leaf wilow,,,,
SAPL,Salix planifolia,sandbar willow,,,,
SASP,Salix spp.,willow,,,,
SATR,Salix triandra = Salix amygdalina L.,,,,,
SBPI,Sabina pingu,,,,,
SBRE,Sabina recurva,,,,,
SBTI,Sabina tibetica,,,,,
SBWA,Sabina wallichiana,,,,,
SCTR,Schleichera trijuga Willd.,ta-kro,kusum,kusamo,,
SCVE,Sciadopitys verticillata (Thunb.) Sieb. & Zucc.,Japanese umbrella pine,koyamaki pine,,,
SEGI,Sequoiadendron giganteum (Lindl.) Buchholz,giant sequoia,,,,
SHRO,Shorea robusta Gaertn.f.,sal,,,,
SIAM,Simarouba amara Aubl.,simarouba,,,,
SNAL,Santalum album L.,sandalwood,chandal,santalin,,
SOAR,Sorbus aria (L.) Crantz,whitebeam,,,,
SOAU,Sorbus aucuparia L. Rowan,mountain ash,,,,
SODU,Sorocea duckei,,,,,
SSAL,Sassafras albinum (Nutt.) Nees,sassafras,,,,
STPS,Stuartia pseudocamelliad var. koreana (Rehd.) Sealy,Korean stewartia,,,,
SWLA,Swartzia laevicarpa,,,,,
SWMA,Swietenia mahagoni Jacq.,West Indies mahogany,,,,
